CUDA Aerial Image Processing Report
===================================

GPU Device: NVIDIA GeForce RTX 5070 Laptop GPU
Compute Capability: (12, 0)
Total Memory: 8150 MB

Processing Results:
--------------------------------------------------------------------------------
2.1.01.tiff - edge_enhance: 551.23ms (512x512)
2.1.01.tiff - dehaze: 0.30ms (512x512)
2.1.01.tiff - sharpen: 0.30ms (512x512)
2.1.02.tiff - edge_enhance: 0.29ms (512x512)
2.1.02.tiff - dehaze: 0.30ms (512x512)
2.1.02.tiff - sharpen: 0.31ms (512x512)
2.1.03.tiff - edge_enhance: 2.05ms (512x512)
2.1.03.tiff - dehaze: 0.29ms (512x512)
2.1.03.tiff - sharpen: 0.56ms (512x512)
2.1.04.tiff - edge_enhance: 0.31ms (512x512)
2.1.04.tiff - dehaze: 0.26ms (512x512)
2.1.04.tiff - sharpen: 0.29ms (512x512)
2.1.05.tiff - edge_enhance: 0.34ms (512x512)
2.1.05.tiff - dehaze: 0.23ms (512x512)
2.1.05.tiff - sharpen: 0.23ms (512x512)
2.1.06.tiff - edge_enhance: 0.26ms (512x512)
2.1.06.tiff - dehaze: 0.28ms (512x512)
2.1.06.tiff - sharpen: 0.29ms (512x512)
2.1.07.tiff - edge_enhance: 0.28ms (512x512)
2.1.07.tiff - dehaze: 0.29ms (512x512)
2.1.07.tiff - sharpen: 0.35ms (512x512)
2.1.08.tiff - edge_enhance: 2.38ms (512x512)
2.1.08.tiff - dehaze: 0.26ms (512x512)
2.1.08.tiff - sharpen: 0.27ms (512x512)
2.1.09.tiff - edge_enhance: 0.30ms (512x512)
2.1.09.tiff - dehaze: 0.27ms (512x512)
2.1.09.tiff - sharpen: 0.26ms (512x512)
2.1.10.tiff - edge_enhance: 0.29ms (512x512)
2.1.10.tiff - dehaze: 0.28ms (512x512)
2.1.10.tiff - sharpen: 0.28ms (512x512)
2.1.11.tiff - edge_enhance: 0.28ms (512x512)
2.1.11.tiff - dehaze: 1.62ms (512x512)
2.1.11.tiff - sharpen: 0.29ms (512x512)
2.1.12.tiff - edge_enhance: 1.33ms (512x512)
2.1.12.tiff - dehaze: 0.29ms (512x512)
2.1.12.tiff - sharpen: 0.27ms (512x512)
2.2.01.tiff - edge_enhance: 0.30ms (1024x1024)
2.2.01.tiff - dehaze: 0.40ms (1024x1024)
2.2.01.tiff - sharpen: 0.15ms (1024x1024)
2.2.02.tiff - edge_enhance: 0.30ms (1024x1024)
2.2.02.tiff - dehaze: 0.28ms (1024x1024)
2.2.02.tiff - sharpen: 2.26ms (1024x1024)
2.2.03.tiff - edge_enhance: 0.29ms (1024x1024)
2.2.03.tiff - dehaze: 0.27ms (1024x1024)
2.2.03.tiff - sharpen: 0.27ms (1024x1024)
2.2.04.tiff - edge_enhance: 0.33ms (1024x1024)
2.2.04.tiff - dehaze: 0.34ms (1024x1024)
2.2.04.tiff - sharpen: 0.42ms (1024x1024)
2.2.05.tiff - edge_enhance: 0.87ms (1024x1024)
2.2.05.tiff - dehaze: 0.33ms (1024x1024)
2.2.05.tiff - sharpen: 0.34ms (1024x1024)
2.2.06.tiff - edge_enhance: 0.34ms (1024x1024)
2.2.06.tiff - dehaze: 0.31ms (1024x1024)
